sentence_id,word,word_position,response_time_ms,word_onset_ms,sentence_length,word_frequency,age,language_proficiency,sentence_type
1,Мальчик,1,7668.2,40172.6,3,50,25,beginner,Canonical (SVO)
1,читает,2,3185.2,48148.0,3,70,25,beginner,Canonical (SVO)
1,книгу,3,2234.0,51638.6,3,60,25,beginner,Canonical (SVO)
2,Книгу,1,2092.3,55588.1,3,60,25,beginner,Non-Canonical
2,читает,2,2124.7,57985.0,3,70,25,beginner,Non-Canonical
2,мальчик,3,2216.4,60413.3,3,50,25,beginner,Non-Canonical
3,Читает,1,1810.1,64149.5,3,70,25,beginner,Non-Canonical
3,мальчик,2,4192.6,66268.0,3,50,25,beginner,Non-Canonical
3,книгу,3,3273.5,70761.6,3,60,25,beginner,Non-Canonical
4,Мальчик,1,1433.3,75289.1,3,50,25,beginner,Non-Canonical
4,книгу,2,4319.0,77023.8,3,60,25,beginner,Non-Canonical
4,читает,3,3235.7,81644.5,3,70,25,beginner,Non-Canonical
5,Мальчик,1,1699.0,86570.0,5,50,25,beginner,Non-Canonical
5,который,2,3664.1,88570.3,5,80,25,beginner,Non-Canonical
5,играет,3,3522.5,92537.3,5,40,25,beginner,Non-Canonical
5,видит,4,3620.1,96362.4,5,55,25,beginner,Non-Canonical
5,собаку,5,3657.0,100283.6,5,45,25,beginner,Non-Canonical
1,Мальчик,1,2834.3,121496.0,3,50,31,intermediate,Canonical (SVO)
1,читает,2,2093.6,124635.1,3,70,31,intermediate,Canonical (SVO)
1,книгу,3,2007.2,127034.8,3,60,31,intermediate,Canonical (SVO)
2,Книгу,1,2165.4,130215.6,3,60,31,intermediate,Non-Canonical
2,читает,2,2770.3,132684.7,3,70,31,intermediate,Non-Canonical
2,мальчик,3,1800.6,135759.7,3,50,31,intermediate,Non-Canonical
3,Читает,1,1745.6,138734.5,3,70,31,intermediate,Non-Canonical
3,мальчик,2,2516.6,140781.4,3,50,31,intermediate,Non-Canonical
3,книгу,3,2554.5,143602.2,3,60,31,intermediate,Non-Canonical
4,Мальчик,1,1364.6,147777.7,3,50,31,intermediate,Non-Canonical
4,книгу,2,2758.7,149450.7,3,60,31,intermediate,Non-Canonical
4,читает,3,2688.6,152512.3,3,70,31,intermediate,Non-Canonical
5,Мальчик,1,1675.4,157384.8,5,50,31,intermediate,Non-Canonical
5,который,2,2336.0,159367.5,5,80,31,intermediate,Non-Canonical
5,играет,3,2435.5,162016.7,5,40,31,intermediate,Non-Canonical
5,видит,4,2300.0,164755.1,5,55,31,intermediate,Non-Canonical
5,собаку,5,3371.3,167363.3,5,45,31,intermediate,Non-Canonical
1,Мальчик,1,1045.8,182624.4,3,50,35,advanced,Canonical (SVO)
1,читает,2,1696.9,183980.1,3,70,35,advanced,Canonical (SVO)
1,книгу,3,1765.4,185982.1,3,60,35,advanced,Canonical (SVO)
2,Книгу,1,987.7924999999999,188728.9,3,60,35,advanced,Non-Canonical
2,читает,2,1391.6425,189996.7,3,70,35,advanced,Non-Canonical
2,мальчик,3,1884.0524999999998,191655.5,3,50,35,advanced,Non-Canonical
3,Читает,1,1635.3874999999998,194623.2,3,70,35,advanced,Non-Canonical
3,мальчик,2,1763.6149999999998,196525.2,3,50,35,advanced,Non-Canonical
3,книгу,3,1653.3249999999998,198548.6,3,60,35,advanced,Non-Canonical
4,Мальчик,1,1283.8125,201622.4,3,50,35,advanced,Non-Canonical
4,книгу,2,2366.725,203180.5,3,60,35,advanced,Non-Canonical
4,читает,3,1821.0149999999996,205795.6,3,70,35,advanced,Non-Canonical
5,Мальчик,1,1205.7074999999998,208915.7,5,50,35,advanced,Non-Canonical
5,который,2,1855.5575,210393.9,5,80,35,advanced,Non-Canonical
5,играет,3,2421.0499999999997,212515.9,5,40,35,advanced,Non-Canonical
5,видит,4,2397.27,215181.7,5,55,35,advanced,Non-Canonical
5,собаку,5,2594.3774999999996,217831.6,5,45,35,advanced,Non-Canonical
1,Мальчик,1,2888.4,232680.3,3,50,38,beginner,Canonical (SVO)
1,читает,2,2854.7,235871.3,3,70,38,beginner,Canonical (SVO)
1,книгу,3,1857.6,239029.7,3,60,38,beginner,Canonical (SVO)
2,Книгу,1,1961.2,244428.0,3,60,38,beginner,Non-Canonical
2,читает,2,3260.7,246692.7,3,70,38,beginner,Non-Canonical
2,мальчик,3,2126.7,250262.2,3,50,38,beginner,Non-Canonical
3,Читает,1,1928.5,253597.5,3,70,38,beginner,Non-Canonical
3,мальчик,2,1477.3,255831.4,3,50,38,beginner,Non-Canonical
3,книгу,3,2587.0,257613.8,3,60,38,beginner,Non-Canonical
4,Мальчик,1,2763.0,261480.1,3,50,38,beginner,Non-Canonical
4,книгу,2,2986.1,264545.2,3,60,38,beginner,Non-Canonical
4,читает,3,2787.9,267845.2,3,70,38,beginner,Non-Canonical
5,Мальчик,1,1952.6,271796.1,5,50,38,beginner,Non-Canonical
5,который,2,2511.5,274049.9,5,80,38,beginner,Non-Canonical
5,играет,3,3067.7,276862.1,5,40,38,beginner,Non-Canonical
5,видит,4,2999.0,280231.5,5,55,38,beginner,Non-Canonical
5,собаку,5,2740.5,283541.6,5,45,38,beginner,Non-Canonical
1,Мальчик,1,3848.4,310493.5,3,50,32,intermediate,Canonical (SVO)
1,читает,2,3154.9,314643.3,3,70,32,intermediate,Canonical (SVO)
1,книгу,3,2721.8,318108.3,3,60,32,intermediate,Canonical (SVO)
2,Книгу,1,2871.5,322466.0,3,60,32,intermediate,Non-Canonical
2,читает,2,2422.0,325642.9,3,70,32,intermediate,Non-Canonical
2,мальчик,3,2409.4,328375.9,3,50,32,intermediate,Non-Canonical
3,Читает,1,2686.9,334442.8,3,70,32,intermediate,Non-Canonical
3,мальчик,2,2187.0,337442.2,3,50,32,intermediate,Non-Canonical
3,книгу,3,1858.6,339935.6,3,60,32,intermediate,Non-Canonical
4,Мальчик,1,2454.7,345689.6,3,50,32,intermediate,Non-Canonical
4,книгу,2,2652.6,348454.8,3,60,32,intermediate,Non-Canonical
4,читает,3,2545.4,351410.4,3,70,32,intermediate,Non-Canonical
5,Мальчик,1,1909.8,358391.3,5,50,32,intermediate,Non-Canonical
5,который,2,2263.6,360607.9,5,80,32,intermediate,Non-Canonical
5,играет,3,3089.6,363174.0,5,40,32,intermediate,Non-Canonical
5,видит,4,2260.0,366569.2,5,55,32,intermediate,Non-Canonical
5,собаку,5,2238.1,369139.4,5,45,32,intermediate,Non-Canonical
1,Мальчик,1,5368.4,10999.8,3,50,21,beginner,Canonical (SVO)
1,читает,2,3940.3,16672.2,3,70,21,beginner,Canonical (SVO)
1,книгу,3,3007.9,20915.2,3,60,21,beginner,Canonical (SVO)
2,Книгу,1,2321.3,26231.0,3,60,21,beginner,Non-Canonical
2,читает,2,3138.1,28862.3,3,70,21,beginner,Non-Canonical
2,мальчик,3,2726.0,32313.9,3,50,21,beginner,Non-Canonical
3,Читает,1,3791.8,37529.4,3,70,21,beginner,Non-Canonical
3,мальчик,2,3902.6,41629.7,3,50,21,beginner,Non-Canonical
3,книгу,3,4622.0,45833.0,3,60,21,beginner,Non-Canonical
4,Мальчик,1,2520.4,52210.0,3,50,21,beginner,Non-Canonical
4,книгу,2,3781.1,55031.7,3,60,21,beginner,Non-Canonical
4,читает,3,3085.6,59113.8,3,70,21,beginner,Non-Canonical
5,Мальчик,1,2907.5,63779.1,5,50,21,beginner,Non-Canonical
5,который,2,4161.9,66995.6,5,80,21,beginner,Non-Canonical
5,играет,3,4144.1,71462.2,5,40,21,beginner,Non-Canonical
5,видит,4,3285.0,75912.0,5,55,21,beginner,Non-Canonical
5,собаку,5,2807.8,79499.2,5,45,21,beginner,Non-Canonical
1,Мальчик,1,3052.5,96527.7,3,50,23,beginner,Canonical (SVO)
1,читает,2,5022.0,99881.3,3,70,23,beginner,Canonical (SVO)
1,книгу,3,3289.2,105211.9,3,60,23,beginner,Canonical (SVO)
2,Книгу,1,3333.8,110595.0,3,60,23,beginner,Non-Canonical
2,читает,2,2649.9,114230.5,3,70,23,beginner,Non-Canonical
2,мальчик,3,2064.0,117194.0,3,50,23,beginner,Non-Canonical
3,Читает,1,2120.2,120726.1,3,70,23,beginner,Non-Canonical
3,мальчик,2,3260.8,123160.6,3,50,23,beginner,Non-Canonical
3,книгу,3,2824.5,126723.6,3,60,23,beginner,Non-Canonical
4,Мальчик,1,2445.9,131760.1,3,50,23,beginner,Non-Canonical
4,книгу,2,1889.6,134509.6,3,60,23,beginner,Non-Canonical
4,читает,3,1858.8,136709.5,3,70,23,beginner,Non-Canonical
5,Мальчик,1,1641.5,140509.2,5,50,23,beginner,Non-Canonical
